Train loss,Test loss,Train accuracy,Test accuracy
1.1148366193418149,1.097976870438051,0.35009259259259257,0.3537037037037037
1.0975304928532352,1.098291502196408,0.3535185185185185,0.3537037037037037
1.0975215712300053,1.0980090897464188,0.3535185185185185,0.3537037037037037
1.097532202579357,1.0980106073723743,0.3535185185185185,0.3537037037037037
1.097551275006047,1.0981162430266658,0.3535185185185185,0.3537037037037037
1.0974488089702747,1.0978499534567432,0.3535185185185185,0.3537037037037037
1.0975252479094046,1.098278966175734,0.3535185185185185,0.3537037037037037
1.0975679506195917,1.0980080486049313,0.3535185185185185,0.3537037037037037
1.0975413973243149,1.0979463465115022,0.3535185185185185,0.3537037037037037
1.0975456667829442,1.0979790870959942,0.3535185185185185,0.3537037037037037
