Train loss,Test loss,Train accuracy,Test accuracy
6.96993251856331e+24,5.96071206907536e+24,0.3179166666666667,0.31555555555555553
5.694063541353118e+24,5.960202655142863e+24,0.3187962962962963,0.31574074074074077
5.693826479448124e+24,5.960066369076335e+24,0.3187962962962963,0.31574074074074077
5.693737386504776e+24,5.959995780348637e+24,0.3187962962962963,0.31574074074074077
5.693686097804188e+24,5.959950414337111e+24,0.3187962962962963,0.31574074074074077
5.69365134181116e+24,5.959917081517412e+24,0.3187962962962963,0.31574074074074077
5.693625010258266e+24,5.959891872018905e+24,0.3187962962962963,0.31574074074074077
5.693604731543273e+24,5.95987153642784e+24,0.3187962962962963,0.31574074074074077
5.693586957763751e+24,5.959851050325943e+24,0.3187962962962963,0.31574074074074077
5.693567520147695e+24,5.959832313219611e+24,0.31884259259259257,0.31574074074074077
